	objid	ra	dec	u	g	r	i	z	run	rerun	camcol	field	specobjid	class	redshift	plate	mjd	fiberid	t	p	cost	sint	sinp	cosp	x	y
0	1.23765e+18	198.3563632	-0.328044454	25.28078	21.70171	123381.65999999999	19.37002	-39752.63076484504	752	301	3	366	4.50821e+18	GALAXY	0.4112722	4004	55321	385	1.8988407807948966	3.461971630121716	-0.32219238065726336	0.946674215264367	-0.3149262759647	-0.9491161365749745	-110858.88712608747	-36784.09325775054
1	1.23765e+18	198.367594	-0.35606536	20.73523	18.85085	63547.08	17.08212	-22151.81935200551	752	301	3	366	3.32185e+17	GALAXY	0.2118236	295	51985	162	1.9268616867948967	3.4621676445593486	-0.34858909885403877	0.9372756479073427	-0.3151123103792725	-0.9490543882451822	-56526.752345432425	-18768.445465745517
2	1.23765e+18	198.4282064	-0.3844057	18.44623	17.23412	28333.425	16.29652	-10625.26880998169	752	301	3	366	3.3219e+17	GALAXY	0.09444475	295	51985	179	1.9552020267948966	3.463225530506884	-0.375008274149055	0.927021463785897	-0.3161161251681293	-0.9487205043682189	-24918.8016220799	-8303.009133180776
3	1.23765e+18	198.3684199	-0.345940334	24.48734	20.77408	134187.63	18.45882	-45500.53653363015	752	301	3	366	4.50821e+18	GALAXY	0.4472921	4004	55321	390	1.9167366607948966	3.4621820592336405	-0.3390814528405498	0.9407570187564598	-0.3151259906564265	-0.9490498459052642	-119806.11150553571	-39780.86054991563
4	1.23765e+18	198.4621363	-0.219281374	19.30241	17.78075	36323.100000000006	16.49114	-7901.3007957038835	752	301	3	367	3.32189e+17	GALAXY	0.121077	295	51985	175	1.7900777007948965	3.463817718976757	-0.21752826151137658	0.9760540228101302	-0.3166778910501755	-0.9485331377026388	-33628.63736149797	-11227.278768903563
5	1.23765e+18	198.4661237	-0.254391307	20.16626	18.28559	41416.44	16.79652	-10422.710205999423	752	301	3	367	3.32187e+17	GALAXY	0.1380548	295	51985	168	1.8251876337948967	3.4638873122353506	-0.25165635206694303	0.967816656430524	-0.31674390179518846	-0.9485110967593158	-38019.663974408875	-12696.210675173586
6	1.23765e+18	198.4932243	-0.256808282	19.09543	17.3131	41615.43	15.97224	-10570.102961004552	752	301	3	367	3.32189e+17	GALAXY	0.1387181	295	51985	176	1.8276046087948965	3.464360306934617	-0.2539948033939467	0.9672055830323099	-0.3171925070678189	-0.9483611724759885	-38172.17850839966	-12767.212906563993
7	1.23765e+18	198.5011367	-0.35065782	19.93487	17.91528	36273.329999999994	16.43629	-12460.457308075062	752	301	3	367	3.32188e+17	GALAXY	0.1209111	295	51985	174	1.9214541467948965	3.4644984043663514	-0.3435156713782568	0.9391469445819144	-0.3173234702851048	-0.9483173599624855	-32305.366893636114	-10809.937226001726
8	1.23765e+18	198.5397019	-0.323054551	20.59683	18.82568	53097.39	17.23815	-16856.540435267136	752	301	3	367	3.32186e+17	GALAXY	0.1769913	295	51985	164	1.8938508777948966	3.465171494083042	-0.31746457660663047	0.9482701316607904	-0.3179617010183981	-0.9481035579964284	-47737.648432225935	-16009.58436460799
9	1.23765e+18	198.4589399	-0.238214724	24.3178	22.96045	173944.88999999998	19.85194	-41045.45253324107	752	301	3	367	4.50821e+18	GALAXY	0.5798163	4004	55321	391	1.8090110507948967	3.463761931272546	-0.2359681421698624	0.971760791491869	-0.31662497407128937	-0.948550802959101	-160336.22091491774	-53520.01351061348
10	1.23765e+18	198.4382402	-0.309829242	23.28441	22.47034	218750.79	19.8564	-66696.24380369706	752	301	3	367	4.50821e+18	GALAXY	0.7291693	4004	55321	387	1.8806255687948965	3.463400653353371	-0.30489601342101236	0.9523856472038907	-0.316282262955199	-0.9486651306651565	-197640.25692165835	-65892.70090110731
11	1.23765e+18	198.4762405	-0.224533334	25.59344	22.30646	174568.22999999998	19.64594	-38867.866842944844	752	301	3	367	4.50821e+18	GALAXY	0.5818941	4004	55321	393	1.7953296607948965	3.4640638837051165	-0.22265143458775316	0.9748981170748129	-0.31691137685512333	-0.9484551540372322	-161414.015267861	-53933.95523711145
12	1.23765e+18	198.5035255	-0.300281611	22.24945	21.04514	87170.34	18.61935	-25784.047590857946	752	301	3	367	4.5082e+18	GALAXY	0.2905678	4004	55321	346	1.8710779377948965	3.464540096791523	-0.2957892282037439	0.9552532295044249	-0.31736300765986764	-0.9483041291532389	-78965.04662248839	-26426.737926883983
13	1.23765e+18	198.5341306	-0.279814808	23.00413	21.52751	113787.51000000001	19.8836	-31425.56870957496	752	301	3	367	4.5082e+18	GALAXY	0.3792917	4004	55321	348	1.8506111347948966	3.4650742565544252	-0.2761776640474421	0.9611066006855318	-0.3178695082685055	-0.948134471324157	-103689.81277899678	-34762.82193862404
14	1.23765e+18	198.549844	-0.384435304	25.69549	21.76404	103029.56999999999	19.09819	-38639.7687115654	752	301	3	367	4.5082e+18	GALAXY	0.3434319	4004	55321	342	1.9552316307948965	3.4653485071211083	-0.3750357175281368	0.9270103616347315	-0.3181295227272794	-0.94804725977628	-90547.49979625034	-30384.3849526311
15	1.23765e+18	198.6026366	-0.411987012	24.36051	20.81606	103589.24999999999	18.4565	-41480.333496823216	752	301	3	368	4.5082e+18	GALAXY	0.3452975	4004	55321	350	1.9827833387948965	3.4662699118117968	-0.40043086996790905	0.9163269713245068	-0.31900292275198633	-0.9477537313435861	-89962.32306039799	-30280.27539721867
16	1.23765e+18	198.7196517	-0.260685021	25.46978	22.81715	217064.10000000003	19.76142	-55946.64139603593	752	301	3	368	4.50819e+18	GALAXY	0.723547	4004	55321	307	1.8314813477948966	3.4683122105813466	-0.2577424889515858	0.966213645830487	-0.3209378524079347	-0.9471002559876028	-198635.61649949758	-67310.39060336749
